loop,energy
1,2.5636865942813523
2,2.4750456945736818
3,2.4594122153029043
4,2.4390589838176782
5,2.428898049627819
6,2.4333550858270847
7,2.4093605018543522
8,2.3881416755466263
9,2.3774164502427633
10,2.3520591987972344
11,2.3234855639395859
12,2.309677382781067
13,2.2922240781121648
14,2.2634497089513324
15,2.2535693022723726
16,2.2455116941898434
17,2.2341024321775982
18,2.2110574872261144
19,2.1980998964886131
20,2.18537124008586
21,2.1748064721580205
22,2.1608985528359907
23,2.1456645784791837
24,2.13517371275706
25,2.1248324724059886
26,2.1138487160600503
27,2.1079807106749109
28,2.0996761281248109
29,2.0768322498146996
30,2.0846154649016282
31,2.0761476894243303
32,2.0584787903815434
33,2.0547109742831418
34,2.0450987053321033
35,2.064483346215368
36,2.0209917119784762
37,2.0294521002554533
38,2.0049566738611109
39,1.9968631352313924
40,1.999119172923266
41,1.9864098023958794
42,1.9866272140853001
43,1.97343196667132
44,1.9740529032106611
45,1.9637355451681926
46,1.9627730048439362
47,1.9549237931112498
48,1.9514950541237313
49,1.9502040580763818
50,1.9375188598262629
51,1.9385245536456663
52,1.9358685328135419
53,1.9253281725194757
54,1.9233657593010256
55,1.9225790185141216
56,1.9189047142147662
57,1.9057873960362648
58,1.9067220722169202
59,1.9023001612671697
60,1.899933226304406
61,1.8958796444373223
62,1.8904582150293197
63,1.9038726795985355
64,1.8992291828373584
65,1.8569102081211801
66,1.8606189673706468
67,1.8536501467007485
68,1.8488032145425888
69,1.8573707552249688
70,1.8499393957641876
71,1.8391842772646096
72,1.8433094959788985
73,1.8496092130004107
74,1.8365067501964887
75,1.8414341450170928
76,1.8479260247435223
77,1.8366354767062976
78,1.8215876771230761
79,1.8370585218274227
80,1.8341985790059347
81,1.8222365171161976
82,1.8249767515647868
83,1.8239438108852595
84,1.8217545125161909
85,1.8171735539211054
86,1.8122082604413476
87,1.8162728178870602
88,1.8156686958650841
89,1.8033002964670148
90,1.7977137568732682
91,1.8086957818810661
92,1.7975466932387951
93,1.7947737945116622
94,1.8042910523369589
95,1.8006336516153885
96,1.7865186363689622
97,1.7939370969760686
98,1.7950488938984446
99,1.788596930328725
100,1.7869234352346322
101,1.798311937589856
102,1.7906895580635978
103,1.7855140919114343
104,1.7926673388064285
105,1.7897237287999583
106,1.7858522243656361
107,1.7849658829493418
108,1.778538818626958
109,1.7879670647710593
110,1.7816644366520826
111,1.7837489325111187
112,1.7801577090107528
113,1.7785516998977893
114,1.773900841939769
115,1.7666903681544261
116,1.7722008922820025
117,1.7642800484237873
118,1.7614732617710571
119,1.7666452865162106
120,1.7646005841877812
121,1.7609646037572839
122,1.7575494405108028
123,1.7573323926073492
124,1.7509763081343244
125,1.7503814028648144
126,1.7515212688898105
127,1.7464072231797729
128,1.7441336655093131
129,1.7483465709208532
130,1.7477945282629386
131,1.7384896752823407
132,1.734289089912616
133,1.7345394386614601
134,1.7324218543595529
135,1.7307004191780844
136,1.7301490588115491
137,1.7294364372313233
138,1.7210717127021091
139,1.7158957753429693
140,1.7216551839861534
141,1.7154199610081089
142,1.7118531248111537
143,1.7114907281102687
144,1.6823227225041009
145,1.6796062500168263
146,1.6638784509656361
147,1.6682298117923355
148,1.671183214538144
149,1.6566252098259191
150,1.6528110481890317
151,1.6568789169104035
152,1.6542067690337341
153,1.6414586041450221
154,1.6508389688958365
155,1.6522069386594087
156,1.6442763881824158
157,1.6377843308022308
158,1.6420424277037149
